Descrição;Classe
RADIO RECEPTOR DIGITAL VHF;MAQUINAS E EQUIPAMENTOS
RADIO RECEPTOR DIGITAL VHF;MAQUINAS E EQUIPAMENTOS
RADIO RECEPTOR DIGITAL VHF;MAQUINAS E EQUIPAMENTOS
RADIO RECEPTOR DIGITAL VHF;MAQUINAS E EQUIPAMENTOS
RADIO RECEPTOR DIGITAL VHF;MAQUINAS E EQUIPAMENTOS
RADIO RECEPTOR DIGITAL VHF;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
DVR C/ 18 CANAIS;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT CASSETE;MAQUINAS E EQUIPAMENTOS
CENTRAL TELEFONICA;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO JANELEIRO;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO JANELEIRO;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
VENTILADOR DE PAREDE;MAQUINAS E EQUIPAMENTOS
VENTILADOR DE PAREDE;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
AMPLIFICADOR DE SOM;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
TANQUE DE POLIPROPILENO;MAQUINAS E EQUIPAMENTOS
TANQUE DE POLIPROPILENO;MAQUINAS E EQUIPAMENTOS
CAIXA DE SOM ACUSTICA;MAQUINAS E EQUIPAMENTOS
CAIXA DE SOM ACUSTICA;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 24 PORTAS;MAQUINAS E EQUIPAMENTOS
ROTULADOR MANUAL;MAQUINAS E EQUIPAMENTOS
CAPACIMETRO DIGITAL PORTATIL;MAQUINAS E EQUIPAMENTOS
BOROSCOPIO C/ CAMERA DE INSPECAO;MAQUINAS E EQUIPAMENTOS
ROTULADOR ELETRONICO;MAQUINAS E EQUIPAMENTOS
ROTULADOR ELETRONICO;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
DUROMETRO;MAQUINAS E EQUIPAMENTOS
BLOCO PADRAO DE DUREZA DE 60 HRC;MAQUINAS E EQUIPAMENTOS
BLOCO PADRAO DE DUREZA DE 60 HRC;MAQUINAS E EQUIPAMENTOS
MEDIDOR DE ESPESSURA ULTRASSONICO;MAQUINAS E EQUIPAMENTOS
MEDIDOR DE ESPESSURA ULTRASSONICO;MAQUINAS E EQUIPAMENTOS
ESTROBOSCOPIO DIGITAL;MAQUINAS E EQUIPAMENTOS
TERMOMETRO INFRAVERMELHO;MAQUINAS E EQUIPAMENTOS
APARELHO DETECTOR DE DESCARGA ELETRICA;MAQUINAS E EQUIPAMENTOS
BOROSCOPIO C/ CAMERA DE INSPECAO;MAQUINAS E EQUIPAMENTOS
ANALISADOR DE DADOS DE VIBRACAO;MAQUINAS E EQUIPAMENTOS
TRANSFERIDOR DE ANGULOS;MAQUINAS E EQUIPAMENTOS
GONIOMETRO;MAQUINAS E EQUIPAMENTOS
ESQUADRO COMBINADO;MAQUINAS E EQUIPAMENTOS
ANALISADOR DE DADOS DE VIBRACAO;MAQUINAS E EQUIPAMENTOS
ANALISADOR DE DADOS DE VIBRACAO;MAQUINAS E EQUIPAMENTOS
ESTROBOSCOPIO DIGITAL;MAQUINAS E EQUIPAMENTOS
ESTROBOSCOPIO DIGITAL;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
MAQUINA DE CAFE;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
REFILADORA DE PAPEL;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
ROTULADOR ELETRONICO;MAQUINAS E EQUIPAMENTOS
MONOMETRO DIGITAL PORTATIL;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 24 PORTAS;MAQUINAS E EQUIPAMENTOS
MAQUINA DE CAFE;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CAIXA DE SOM AMPLIFICADA;MAQUINAS E EQUIPAMENTOS
CAIXA DE SOM AMPLIFICADA;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CAIXA DE SOM AMPLIFICADA;MAQUINAS E EQUIPAMENTOS
CAIXA DE SOM AMPLIFICADA;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONTROLE DE ACESSO DIGITAL;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 48 PORTAS;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
MOTOR DE INDUCAO;MAQUINAS E EQUIPAMENTOS
MOTOR DE INDUCAO;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
TANQUINHO DE LAVAR ROUPAS;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
ESTABILIZADOR DE VOLTAGEM;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
CENTRAL PABX;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
PAINEL P/ FERRAMENTAS;MAQUINAS E EQUIPAMENTOS
BATERIA;MAQUINAS E EQUIPAMENTOS
BATERIA;MAQUINAS E EQUIPAMENTOS
BOMBA DE OLEO LUBRIFICANTE;MAQUINAS E EQUIPAMENTOS
VENTILADOR DE PAREDE;MAQUINAS E EQUIPAMENTOS
VENTILADOR DE PAREDE;MAQUINAS E EQUIPAMENTOS
PRENSA HIDRAULICA;MAQUINAS E EQUIPAMENTOS
AGITADOR ELETROMAGNETICO P/ PENEIRAS;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 48 PORTAS;MAQUINAS E EQUIPAMENTOS
CONDICIONADOR DE AR TIPO SPLIT;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
DVR C/ 5 CANAIS;MAQUINAS E EQUIPAMENTOS
DVR C/ 4 CANAIS;MAQUINAS E EQUIPAMENTOS
DVR C/ 4 CANAIS;MAQUINAS E EQUIPAMENTOS
SERVIDOR;MAQUINAS E EQUIPAMENTOS
SERVIDOR;MAQUINAS E EQUIPAMENTOS
SERVIDOR;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 48 PORTAS;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 48 PORTAS;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 48 PORTAS;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 48 PORTAS;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 8 PORTAS;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 8 PORTAS;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 48 PORTAS;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 48 PORTAS;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 16 PORTAS;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 48 PORTAS;MAQUINAS E EQUIPAMENTOS
CENTRAL TELEFONICA;MAQUINAS E EQUIPAMENTOS
UNIDADE DE FITA;MAQUINAS E EQUIPAMENTOS
GERADOR DE ENERGIA A OLEO;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 24 PORTAS;MAQUINAS E EQUIPAMENTOS
BATERIA;MAQUINAS E EQUIPAMENTOS
BANCO DE BATERIAS C/ 16 ELEMENTOS;MAQUINAS E EQUIPAMENTOS
PAINEL DE COMANDO ELETRICO ENERGIA;MAQUINAS E EQUIPAMENTOS
PAINEL DE COMANDO ELETRICO;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 8 PORTAS;MAQUINAS E EQUIPAMENTOS
DEPURADOR DE AR TIPO COIFA;MAQUINAS E EQUIPAMENTOS
AQUECEDOR A GAS;MAQUINAS E EQUIPAMENTOS
GUICHE DE ACO INOX C/ 3 NIVEIS P/ DEVOLUCAO DE BANDEJAS;MAQUINAS E EQUIPAMENTOS
CATRACA DE ACESSO DIGITAL;MAQUINAS E EQUIPAMENTOS
BOMBA CENTRIFUGA;MAQUINAS E EQUIPAMENTOS
BOMBA CENTRIFUGA;MAQUINAS E EQUIPAMENTOS
MOTOR ELEVADOR;MAQUINAS E EQUIPAMENTOS
PAINEL DE COMANDO ELETRICO;MAQUINAS E EQUIPAMENTOS
PAINEL DE COMANDO ELETRICO EXALTOR;MAQUINAS E EQUIPAMENTOS
PAINEL DE COMANDO ELETRICO CAPACITADORES;MAQUINAS E EQUIPAMENTOS
PAINEL DE COMANDO ELETRICO GERAL;MAQUINAS E EQUIPAMENTOS
PAINEL DE COMANDO ELETRICO GERAL;MAQUINAS E EQUIPAMENTOS
PAINEL DE COMANDO ELETRICO DISJUNTORES;MAQUINAS E EQUIPAMENTOS
BANCO DE BATERIAS C/ 8 ELEMENTOS;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
PRENSA HIDRAULICA;MAQUINAS E EQUIPAMENTOS
MOTOESMERIL DE COLUNA C/ MOTOR ELETRICO DE 25 CV;MAQUINAS E EQUIPAMENTOS
GUINCHO HIDRAULICO;MAQUINAS E EQUIPAMENTOS
PAINEL DE COMANDO ELETRICO GERAL;MAQUINAS E EQUIPAMENTOS
PAINEL DE COMANDO ELETRICO BALANCA;MAQUINAS E EQUIPAMENTOS
DVR C/ 8 CANAIS;MAQUINAS E EQUIPAMENTOS
TALHA MANUAL;MAQUINAS E EQUIPAMENTOS
COMPRESSOR DE AR;MAQUINAS E EQUIPAMENTOS
TALHA MANUAL;MAQUINAS E EQUIPAMENTOS
CORREIA TRANSPORTADORA;MAQUINAS E EQUIPAMENTOS
CAIXA AGREGADO AUTOMATIZADA;MAQUINAS E EQUIPAMENTOS
MOEGA C/ 5 MODULOS;MAQUINAS E EQUIPAMENTOS
ROSCA TRANSPORTADORA VERTICAL;MAQUINAS E EQUIPAMENTOS
BOMBA ABASTECIMENTO P/ OLEO DIESEL;MAQUINAS E EQUIPAMENTOS
MOTOR ELETRICO TRIFASICO;MAQUINAS E EQUIPAMENTOS
MOTOR ELETRICO TRIFASICO;MAQUINAS E EQUIPAMENTOS
DUROMETRO;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 24 PORTAS;MAQUINAS E EQUIPAMENTOS
NEGATOSCOPIO DE 1 CORPO;MAQUINAS E EQUIPAMENTOS
SUPORTE P/ SORO ARTICULADO DE ACO;MAQUINAS E EQUIPAMENTOS
DESUMIDIFICADOR DE PAPEL;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 28 PORTAS;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 28 PORTAS;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 28 PORTAS;MAQUINAS E EQUIPAMENTOS
BANHO MARIA;MAQUINAS E EQUIPAMENTOS
BANHO MARIA;MAQUINAS E EQUIPAMENTOS
BANHO MARIA;MAQUINAS E EQUIPAMENTOS
BANHO MARIA;MAQUINAS E EQUIPAMENTOS
ROSCA TRANSPORTADORA VERTICAL;MAQUINAS E EQUIPAMENTOS
ROSCA TRANSPORTADORA VERTICAL;MAQUINAS E EQUIPAMENTOS
CATRACA DE ACESSO DIGITAL;MAQUINAS E EQUIPAMENTOS
CATRACA DE ACESSO DIGITAL;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 48 PORTAS;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 48 PORTAS;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 12 PORTAS;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 12 PORTAS;MAQUINAS E EQUIPAMENTOS
CONVERSOR DE MIDIA;MAQUINAS E EQUIPAMENTOS
CENTRAL PABX;MAQUINAS E EQUIPAMENTOS
CENTRAL TELEFONICA;MAQUINAS E EQUIPAMENTOS
CENTRAL TELEFONICA;MAQUINAS E EQUIPAMENTOS
SERVIDOR;MAQUINAS E EQUIPAMENTOS
SERVIDOR;MAQUINAS E EQUIPAMENTOS
SERVIDOR;MAQUINAS E EQUIPAMENTOS
SERVIDOR;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 28 PORTAS;MAQUINAS E EQUIPAMENTOS
SWITCH C/ 28 PORTAS;MAQUINAS E EQUIPAMENTOS
SOPRADOR AR ASPIRADOR ELETRICO;MAQUINAS E EQUIPAMENTOS
MOTOESMERIL DE COLUNA C/ MOTOR ELETRICO DE 25 CV;MAQUINAS E EQUIPAMENTOS
AMPLIFICADOR DE SOM;MAQUINAS E EQUIPAMENTOS
AMPLIFICADOR DE SOM;MAQUINAS E EQUIPAMENTOS
PROPULSORA PNEUMATICA P/ GRAXA;MAQUINAS E EQUIPAMENTOS
TALHA MANUAL;MAQUINAS E EQUIPAMENTOS
MACACO HIDRAULICO TIPO GARRAFA;MAQUINAS E EQUIPAMENTOS
MACACO HIDRAULICO TIPO GARRAFA;MAQUINAS E EQUIPAMENTOS
MACACO HIDRAULICO TIPO GARRAFA;MAQUINAS E EQUIPAMENTOS
PRENSA HIDRAULICA;MAQUINAS E EQUIPAMENTOS
MACACO HIDRAULICO TIPO GARRAFA;MAQUINAS E EQUIPAMENTOS
PAINEL DE COMANDO ELETRICO DISTRIBUICAO;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
ESTUFA DE ESTERILIZACAO E SECAGEM;MAQUINAS E EQUIPAMENTOS
PAINEL DE COMANDO ELETRICO AQUECIMENTO;MAQUINAS E EQUIPAMENTOS
AGITADOR ELETROMAGNETICO P/ PENEIRAS;MAQUINAS E EQUIPAMENTOS
BALANCA DIGITAL;MAQUINAS E EQUIPAMENTOS
TRANSPALETE MANUAL C/ RODAS;MAQUINAS E EQUIPAMENTOS
